iter	Passed	Remaining
587	3800	2662
588	3806	2655
589	3811	2648
590	3817	2641
591	3823	2634
592	3830	2628
593	3835	2621
594	3842	2615
595	3848	2608
596	3853	2601
597	3859	2594
598	3865	2587
599	3871	2580
600	3877	2574
601	3883	2567
602	3889	2561
603	3895	2554
604	3902	2547
605	3909	2541
606	3916	2535
607	3923	2529
608	3930	2523
609	3936	2516
610	3944	2511
611	3949	2503
612	3954	2496
613	3961	2490
614	3968	2484
615	3974	2477
616	3980	2470
617	3986	2464
618	3992	2457
619	3997	2450
620	4004	2443
621	4010	2437
622	4015	2430
623	4021	2423
624	4027	2416
625	4034	2410
626	4039	2402
627	4045	2396
628	4050	2389
629	4057	2382
630	4062	2375
631	4068	2368
632	4074	2362
633	4080	2355
634	4086	2348
635	4092	2342
636	4098	2335
637	4104	2328
638	4111	2322
639	4118	2316
640	4124	2310
641	4130	2303
642	4137	2296
643	4143	2290
644	4148	2283
645	4154	2276
646	4161	2270
647	4166	2263
648	4173	2257
649	4179	2250
650	4185	2243
651	4190	2236
652	4196	2230
653	4202	2223
654	4207	2216
655	4212	2209
656	4219	2203
657	4226	2196
658	4233	2190
659	4239	2183
660	4244	2176
661	4250	2170
662	4256	2163
663	4264	2157
664	4270	2151
665	4277	2144
666	4282	2138
667	4288	2131
668	4294	2124
669	4300	2118
670	4307	2112
671	4313	2105
672	4320	2099
673	4326	2092
674	4332	2085
675	4337	2079
676	4344	2072
677	4351	2066
678	4357	2060
679	4364	2053
680	4369	2046
681	4375	2040
682	4379	2032
683	4385	2026
684	4391	2019
685	4397	2012
686	4403	2006
687	4409	1999
688	4415	1993
689	4421	1986
690	4427	1979
691	4432	1972
692	4439	1966
693	4445	1960
694	4453	1954
695	4463	1949
696	4471	1943
697	4478	1937
698	4485	1931
699	4491	1925
700	4498	1918
701	4505	1912
702	4512	1906
703	4518	1899
704	4524	1893
705	4530	1886
706	4535	1879
707	4542	1873
708	4548	1866
709	4553	1860
710	4561	1853
711	4567	1847
712	4574	1841
713	4580	1834
714	4586	1828
715	4592	1821
716	4599	1815
717	4605	1808
718	4611	1802
719	4618	1796
720	4624	1789
721	4630	1783
722	4636	1776
723	4642	1769
724	4648	1763
725	4653	1756
726	4659	1749
727	4665	1743
728	4671	1736
729	4677	1729
730	4683	1723
731	4690	1717
732	4697	1711
733	4703	1704
734	4709	1697
735	4714	1691
736	4720	1684
737	4726	1677
738	4733	1671
739	4740	1665
740	4747	1659
741	4754	1653
742	4759	1646
743	4765	1639
744	4771	1633
745	4777	1626
746	4784	1620
747	4791	1614
748	4798	1607
749	4805	1601
750	4811	1595
751	4817	1588
752	4824	1582
753	4830	1575
754	4837	1569
755	4842	1562
756	4848	1556
757	4854	1549
758	4860	1543
759	4867	1537
760	4873	1530
761	4879	1524
762	4886	1517
763	4893	1511
764	4899	1505
765	4905	1498
766	4912	1492
767	4919	1486
768	4926	1479
769	4932	1473
770	4938	1466
771	4944	1460
772	4950	1453
773	4955	1447
774	4962	1440
775	4969	1434
776	4974	1427
777	4980	1421
778	4987	1414
779	4994	1408
780	5000	1402
781	5007	1396
782	5014	1389
783	5021	1383
784	5028	1377
785	5035	1370
786	5041	1364
787	5048	1358
788	5054	1351
789	5061	1345
790	5067	1338
791	5072	1332
792	5079	1325
793	5085	1319
794	5090	1312
795	5096	1306
796	5103	1299
797	5109	1293
798	5115	1286
799	5123	1280
800	5130	1274
801	5137	1268
802	5144	1262
803	5151	1255
804	5158	1249
805	5164	1243
806	5170	1236
807	5176	1230
808	5183	1223
809	5190	1217
810	5195	1210
811	5203	1204
812	5210	1198
813	5216	1191
814	5222	1185
815	5229	1179
816	5237	1173
817	5243	1166
818	5249	1160
819	5254	1153
820	5260	1146
821	5267	1140
822	5274	1134
823	5280	1127
824	5287	1121
825	5293	1115
826	5299	1108
827	5304	1101
828	5310	1095
829	5315	1088
830	5321	1082
831	5327	1075
832	5333	1069
833	5339	1062
834	5345	1056
835	5351	1049
836	5357	1043
837	5363	1036
838	5369	1030
839	5375	1023
840	5380	1017
841	5387	1010
842	5392	1004
843	5398	997
844	5403	991
845	5408	984
846	5414	978
847	5420	971
848	5427	965
849	5433	958
850	5439	952
851	5447	946
852	5452	939
853	5459	933
854	5466	927
855	5472	920
856	5478	914
857	5484	907
858	5490	901
859	5496	894
860	5502	888
861	5508	881
862	5514	875
863	5520	869
864	5527	862
865	5534	856
866	5541	850
867	5547	843
868	5553	837
869	5559	830
870	5564	824
871	5571	817
872	5577	811
873	5583	805
874	5590	798
875	5597	792
876	5604	786
877	5611	779
878	5617	773
879	5624	767
880	5631	760
881	5638	754
882	5644	747
883	5650	741
884	5656	735
885	5661	728
886	5667	722
887	5673	715
888	5678	709
889	5684	702
890	5690	696
891	5696	689
892	5703	683
893	5709	676
894	5714	670
895	5721	664
896	5728	657
897	5734	651
898	5740	644
899	5746	638
900	5753	632
901	5759	625
